network_level,alpha,beta,budget_B,strategy,subsidy_user,subsidy_merchant,final_B_user_share,final_B_merchant_share,final_B_average_share,profit,state
中等网络效应,0.8,0.8,0.0,只补贴用户,0.0,0.0,0.03081286405094246,0.03081286405094246,0.03081286405094246,3.821962114038132,平台失败
中等网络效应,0.8,0.8,0.0,只补贴商户,0.0,0.0,0.03081286405094246,0.03081286405094246,0.03081286405094246,3.821962114038132,平台失败
中等网络效应,0.8,0.8,0.0,均衡补贴,0.0,0.0,0.03081286405094246,0.03081286405094246,0.03081286405094246,3.821962114038132,平台失败
中等网络效应,0.8,0.8,0.0,偏用户补贴,0.0,0.0,0.03081286405094246,0.03081286405094246,0.03081286405094246,3.821962114038132,平台失败
中等网络效应,0.8,0.8,0.0,偏商户补贴,0.0,0.0,0.03081286405094246,0.03081286405094246,0.03081286405094246,3.821962114038132,平台失败
中等网络效应,0.8,0.8,0.1,只补贴用户,0.1,0.0,0.04480331429217907,0.033385543484544505,0.03909442888836179,4.485057762091277,平台失败
中等网络效应,0.8,0.8,0.1,只补贴商户,0.0,0.1,0.033385543484544505,0.04480331429217907,0.03909442888836179,4.574181394500697,平台失败
中等网络效应,0.8,0.8,0.1,均衡补贴,0.05,0.05,0.03854128837776158,0.03854128837776158,0.03854128837776158,4.495765041706373,平台失败
中等网络效应,0.8,0.8,0.1,偏用户补贴,0.07500000000000001,0.025,0.041520987299447185,0.03583743275465315,0.038679210027050166,4.482006703189551,平台失败
中等网络效应,0.8,0.8,0.1,偏商户补贴,0.025,0.07500000000000001,0.03583743275465315,0.041520987299447185,0.038679210027050166,4.52642885414595,平台失败
中等网络效应,0.8,0.8,0.2,只补贴用户,0.2,0.0,0.06611280912906647,0.03773382962977609,0.05192331937942128,5.454170406186851,平台失败
中等网络效应,0.8,0.8,0.2,只补贴商户,0.0,0.2,0.03773382962977609,0.06611280912906647,0.05192331937942128,5.666044410730267,平台失败
中等网络效应,0.8,0.8,0.2,均衡补贴,0.1,0.1,0.049059853050510485,0.049059853050510485,0.049059853050510485,5.391931351984992,平台失败
中等网络效应,0.8,0.8,0.2,偏用户补贴,0.15000000000000002,0.05,0.056731432272093,0.04280310146832997,0.049767266870211484,5.381399252210594,平台失败
中等网络效应,0.8,0.8,0.2,偏商户补贴,0.05,0.15000000000000002,0.04280310146832997,0.056731432272093,0.049767266870211484,5.485973868594559,平台失败
中等网络效应,0.8,0.8,0.4,只补贴用户,0.4,0.0,0.16822737931817916,0.06827847996661748,0.11825292964239832,10.38033398429286,平台失败
中等网络效应,0.8,0.8,0.4,只补贴商户,0.0,0.4,0.06827847996661748,0.16822737931817916,0.11825292964239832,11.028904182126539,平台失败
中等网络效应,0.8,0.8,0.4,均衡补贴,0.2,0.2,0.0900277728351824,0.0900277728351824,0.0900277728351824,8.861642294975137,平台失败
中等网络效应,0.8,0.8,0.4,偏用户补贴,0.30000000000000004,0.1,0.11873648865466463,0.07370734205597615,0.09622191535532039,9.10471857810486,平台失败
中等网络效应,0.8,0.8,0.4,偏商户补贴,0.1,0.30000000000000004,0.07370734205597615,0.11873648865466463,0.09622191535532039,9.40695741621964,平台失败
中等网络效应,0.8,0.8,1.2,只补贴用户,1.2,0.0,0.9995603896725032,0.9740984739037419,0.9868294317881225,56.898375659503166,平台锁定
中等网络效应,0.8,0.8,1.2,只补贴商户,0.0,1.2,0.9740984739037419,0.9995603896725032,0.9868294317881225,51.554420539746474,平台锁定
中等网络效应,0.8,0.8,1.2,均衡补贴,0.6,0.6,0.9968327545683244,0.9968327545683244,0.9968327545683244,55.94940825767371,平台锁定
中等网络效应,0.8,0.8,1.2,偏用户补贴,0.8999999999999999,0.3,0.9988566720138232,0.9910122902123526,0.9949344811130879,56.98789292228549,平台锁定
中等网络效应,0.8,0.8,1.2,偏商户补贴,0.3,0.8999999999999999,0.9910122902123526,0.9988566720138232,0.9949344811130879,54.25036552267522,平台锁定
强网络效应,1.5,1.5,0.0,只补贴用户,0.0,0.0,0.0022433964017905244,0.0022433964017905244,0.0022433964017905244,0.6942219571303211,平台失败
强网络效应,1.5,1.5,0.0,只补贴商户,0.0,0.0,0.0022433964017905244,0.0022433964017905244,0.0022433964017905244,0.6942219571303211,平台失败
强网络效应,1.5,1.5,0.0,均衡补贴,0.0,0.0,0.0022433964017905244,0.0022433964017905244,0.0022433964017905244,0.6942219571303211,平台失败
强网络效应,1.5,1.5,0.0,偏用户补贴,0.0,0.0,0.0022433964017905244,0.0022433964017905244,0.0022433964017905244,0.6942219571303211,平台失败
强网络效应,1.5,1.5,0.0,偏商户补贴,0.0,0.0,0.0022433964017905244,0.0022433964017905244,0.0022433964017905244,0.6942219571303211,平台失败
强网络效应,1.5,1.5,0.1,只补贴用户,0.1,0.0,0.0031865236915809116,0.002265760643508301,0.002726142167544606,0.7167955964007334,平台失败
强网络效应,1.5,1.5,0.1,只补贴商户,0.0,0.1,0.002265760643508301,0.0031865236915809116,0.002726142167544606,0.7228843800519321,平台失败
强网络效应,1.5,1.5,0.1,均衡补贴,0.05,0.05,0.002685767543753305,0.002685767543753305,0.002685767543753305,0.7173968246077462,平台失败
强网络效应,1.5,1.5,0.1,偏用户补贴,0.07500000000000001,0.025,0.002925143427016519,0.0024665394666698393,0.0026958414468431792,0.7164903480223159,平台失败
强网络效应,1.5,1.5,0.1,偏商户补贴,0.025,0.07500000000000001,0.0024665394666698393,0.002925143427016519,0.0026958414468431792,0.7195244836792541,平台失败
强网络效应,1.5,1.5,0.2,只补贴用户,0.2,0.0,0.004527950854301757,0.0022979549720605116,0.0034129529131811344,0.7498643714379412,平台失败
强网络效应,1.5,1.5,0.2,只补贴商户,0.0,0.2,0.0022979549720605116,0.004527950854301757,0.0034129529131811344,0.7647212500144157,平台失败
强网络效应,1.5,1.5,0.2,均衡补贴,0.1,0.1,0.003218642931874424,0.003218642931874424,0.003218642931874424,0.7464775656000361,平台失败
强网络效应,1.5,1.5,0.2,偏用户补贴,0.15000000000000002,0.05,0.0038157897917863483,0.002717889850624278,0.003266839821205313,0.7455118733999264,平台失败
强网络效应,1.5,1.5,0.2,偏商户补贴,0.05,0.15000000000000002,0.002717889850624278,0.0038157897917863483,0.003266839821205313,0.7528465240814134,平台失败
强网络效应,1.5,1.5,0.4,只补贴用户,0.4,0.0,0.009160648337880505,0.0024127054237185865,0.005786676880799545,0.8560050471567253,平台失败
强网络效应,1.5,1.5,0.4,只补贴商户,0.0,0.4,0.0024127054237185865,0.009160648337880505,0.005786676880799545,0.9000220820700036,平台失败
强网络效应,1.5,1.5,0.4,均衡补贴,0.2,0.2,0.004641126655203052,0.004641126655203052,0.004641126655203052,0.8261706620513589,平台失败
强网络效应,1.5,1.5,0.4,偏用户补贴,0.30000000000000004,0.1,0.006505176346261634,0.0033319343396343987,0.004918555342948016,0.828644508432775,平台失败
强网络效应,1.5,1.5,0.4,偏商户补贴,0.1,0.30000000000000004,0.0033319343396343987,0.006505176346261634,0.004918555342948016,0.8496733829099901,平台失败
强网络效应,1.5,1.5,1.2,只补贴用户,1.2,0.0,0.9999664327720126,0.9978081427974457,0.9988872877847291,57.49826110672617,平台锁定
强网络效应,1.5,1.5,1.2,只补贴商户,0.0,1.2,0.9978081427974457,0.9999664327720126,0.9988872877847291,52.0082554214602,平台锁定
强网络效应,1.5,1.5,1.2,均衡补贴,0.6,0.6,0.023178983550519255,0.023178983550519255,0.023178983550519255,1.8099783266860567,平台失败
强网络效应,1.5,1.5,1.2,偏用户补贴,0.8999999999999999,0.3,0.06040159642002074,0.011891446467651709,0.036146521443836226,1.9623823542324867,平台失败
强网络效应,1.5,1.5,1.2,偏商户补贴,0.3,0.8999999999999999,0.011891446467651709,0.06040159642002074,0.036146521443836226,2.1923795017728307,平台失败
