network_strength,switching_cost,delta_q_star,u_A_at_star,m_A_at_star,u_B_at_star,m_B_at_star
0.3,0.0,0.025,0.4821536946767268,0.4821536946767268,0.5178463053232731,0.5178463053232731
0.8,0.0,0.025,0.4390346148737352,0.4390346148737352,0.5609653851262648,0.5609653851262648
1.5,0.0,0.225,0.03844467435649105,0.03844467435649105,0.961555325643509,0.961555325643509
0.3,0.5,0.025,0.43903461487373513,0.43903461487373513,0.5609653851262648,0.5609653851262648
0.8,0.5,0.125,0.08100449313304982,0.08100449313304982,0.9189955068669502,0.9189955068669502
1.5,0.5,0.525,0.006717776110682587,0.006717776110682587,0.9932822238893174,0.9932822238893174
0.3,1.0,0.125,0.08100449313304985,0.08100449313304985,0.9189955068669502,0.9189955068669502
0.8,1.0,0.4,0.013334279728977567,0.013334279728977567,0.9866657202710224,0.9866657202710224
1.5,1.0,0.8250000000000001,0.001309360659882314,0.001309360659882314,0.9986906393401177,0.9986906393401177
0.3,1.5,0.4,0.013334279728977588,0.013334279728977588,0.9866657202710224,0.9866657202710224
0.8,1.5,0.7000000000000001,0.0025307208724235984,0.0025307208724235984,0.9974692791275764,0.9974692791275764
1.5,1.5,1.125,0.0002620127517730613,0.0002620127517730613,0.9997379872482269,0.9997379872482269
